bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,receiptId,rec_createDate,rec_ScannedDate,rec_finishedDate,rec_modifyDate,pointsAwardedDate,purchaseDate,receipt_ids
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",275.0,5.0,FINISHED,25.00,5ff36be7135e7011bcb856d3,5ff36c590a7214ada1000589,1970-01-01 00:26:49.788505000,1970-01-01 00:26:49.788505000,1970-01-01 00:26:49.788505000,1970-01-01 00:26:49.788505000,1970-01-01 00:26:49.788505000,1970-01-01 00:26:49.308000000,47
25.0,COMPLETE_NONPARTNER_RECEIPT,25.0,1.0,FINISHED,1.00,5964eb07e4b03efd0c0f267b,5ff29be20a7214ada1000571,1970-01-01 00:26:49.735138000,1970-01-01 00:26:49.735138000,1970-01-01 00:26:49.735146000,1970-01-01 00:26:49.735149000,1970-01-01 00:26:49.735146000,1970-01-01 00:26:49.632000000,48
25.0,COMPLETE_NONPARTNER_RECEIPT,25.0,1.0,FINISHED,28.57,5c3388caea88e15513a95069,5ff3416f0a7214ada1000576,1970-01-01 00:26:49.777519000,1970-01-01 00:26:49.777519000,1970-01-01 00:26:49.777519000,1970-01-01 00:26:49.777519000,1970-01-01 00:26:49.777519000,1970-01-01 00:26:49.718400000,49
5.0,All-receipts receipt bonus,5.0,4.0,FINISHED,18.20,5ff36be7135e7011bcb856d3,5ff36c6d0a720f0523000597,1970-01-01 00:26:49.788525000,1970-01-01 00:26:49.788525000,1970-01-01 00:26:49.788525000,1970-01-01 00:26:49.788525000,1970-01-01 00:26:49.788525000,1970-01-01 00:26:49.702125000,50
100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",100.0,1.0,FINISHED,1.00,5ff36a3862fde912123a4460,5ff36a830a7214ada100057b,1970-01-01 00:26:49.788035000,1970-01-01 00:26:49.788035000,1970-01-01 00:26:49.788036000,1970-01-01 00:26:49.788036000,1970-01-01 00:26:49.788036000,1970-01-01 00:26:48.405635000,51
250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",250.0,1.0,FINISHED,10.00,5ff36be7135e7011bcb856d3,5ff36c570a720f0523000593,1970-01-01 00:26:49.788503000,1970-01-01 00:26:49.788503000,1970-01-01 00:26:49.788503000,1970-01-01 00:26:49.788503000,1970-01-01 00:26:49.788503000,1970-01-01 00:26:49.702103000,52
,,350.0,1.0,FINISHED,10.00,5ff370c562fde912123a5e0e,5ff3713c0a7214ada10005b6,1970-01-01 00:26:49.789756000,1970-01-01 00:26:49.789756000,1970-01-01 00:26:49.789756000,1970-01-01 00:26:49.789756000,1970-01-01 00:26:49.789756000,1970-01-01 00:26:49.703356000,53
45.0,COMPLETE_PARTNER_RECEIPT,100.0,1.0,FINISHED,0.99,5ff370c562fde912123a5e0e,5ff371130a7214ada10005aa,1970-01-01 00:26:49.789715000,1970-01-01 00:26:49.789715000,1970-01-01 00:26:49.789716000,1970-01-01 00:26:49.789716000,1970-01-01 00:26:49.789716000,1970-01-01 00:26:49.789715000,54
500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,5.0,FINISHED,49.95,5ff370c562fde912123a5e0e,5ff370f00a7214ada10005a3,1970-01-01 00:26:49.789680000,1970-01-01 00:26:49.789680000,1970-01-01 00:26:49.789681000,1970-01-01 00:26:49.789681000,1970-01-01 00:26:49.789681000,1970-01-01 00:26:48.508800000,55
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",755.0,1.0,FINISHED,1.00,5ff37124135e7011bcb86bc3,5ff371240a7214ada10005b3,1970-01-01 00:26:49.789732000,1970-01-01 00:26:49.789732000,1970-01-01 00:26:49.789732000,1970-01-01 00:26:49.789732000,1970-01-01 00:26:49.789732000,1970-01-01 00:26:49.703332000,56
5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,1.00,54943462e4b07e684157a532,5ff36c8d0a7214ada1000591,1970-01-01 00:26:49.788557000,1970-01-01 00:26:49.788557000,1970-01-01 00:26:49.788557000,1970-01-01 00:26:49.788557000,1970-01-01 00:26:49.788557000,1970-01-01 00:26:49.702157000,57
